enunciados;modelos
Un motor de ignición por compresión de seis cilindros, cuatro tiempos, 3.2 L, opera en un ciclo Diesel ideal con una relación de compresión de 19. El aire está a 95 kPa y 67 ºC al inicio del proceso de compresión y la velocidad de rotación del motor es de 1 750 rpm. El motor usa diesel ligero con un poder calorífico de 42500 kJ/kg, una relación aire-combustible de 28 y una eficiencia de combustión de 98 por ciento. Usando calores específicos constantes a 850 K, determine a) la temperatura máxima en el ciclo y la relación de cierre de admisión, b) la producción neta de trabajo por ciclo y la eficiencia térmica, c) la presión media efectiva, d) la producción neta de potencia y e) el consumo específico de combustible, en g/kWh, definido como la relación de la masa de combustible consumido al trabajo neto producido.;Diesel
Un ciclo Diesel de aire estándar tiene una relación de compresión de 15.08:1. La presión y la temperatura al comienzo de la compresión son 1 bar y 27 ºC. respectivamente. Si la temperatura máxima del ciclo es 2.250 K, determínese (a) la relación de corte, (b) la presión máxima en bar. (c) el rendimiento térmico, y (J) la presión media efectiva, en bar.;Diesel
Un motor ideal Diesel tiene una relación de compresión de 20 y usa aire como fluido de trabajo. El estado del aire al principio del proceso de compresión es 95 kPa y 20 ºC. Si la temperatura máxima en el ciclo no ha de exceder 2.200 K, determine: a) la eficiencia térmica, b) la presión efectiva media, Suponga calores específicos constantes para el aire a temperatura ambiente.;Diesel
Un ciclo Diesel de aire estándar funciona con una relación de compresión de 14.8 y una relación de corte de 2. La temperatura y presión al comienzo de la compresión son 100 ºF y 14.5 psia, respectivamente. Determínese (a) la temperatura máxima del ciclo, en grados Rankine, (b) la presión después de la expansión isoentrópica, en psia, y (c) el calor suministrado por ciclo, en Btu/lbm. Utilícense los valores de la Tabla A.5I.;Diesel
Un ciclo Diesel de aire estándar tiene una relación de compresión de 18.2. El aire está a 27 ºC y 100 kPa al inicio del proceso de compresión, y a 1700 K al final del proceso de adición de calor. Tomando en cuenta las variaciones de calores específicos con la temperatura, determine: a) la relación de cierre de admisión. b) el rechazo de calor por unidad de masa. c) la eficiencia térmica;Diesel
Un ciclo Diesel de aire estándar tiene una relación de compresión de 18.2. El aire está a 80 ºF y 14.7 psia al inicio del proceso de compresión, y a 3000 R al final del proceso de adición de calor. Tomando en cuenta las variaciones de calores específicos con la temperatura, determine a) la relación de cierre de admisión, b) el rechazo de calor por unidad de masa y c) la eficiencia térmica.;Diesel
"Al comienzo de la compresión adiabática de un ciclo Diesel ideal se tienen los siguientes valores: P1 = 95 kPa y T1 = 290 K. Al final del proceso de absorción de calor se tienen P3 = 6.5 MPa y T3 = 2000 K. Calcular: a) la relación de compresión; b) la relación de combustión; y c) el rendimiento. (Tomar γ = 1, 4)";Diesel
A un ciclo Diesel de aire estándar se le suministran 724 Btu/lbm de calor por ciclo. La presión y la temperatura al comienzo de la compresión son. respectivamente. 14.0 psia y 80 ºF. y la presión después de la compresión es 540 psia. Determínese (a) la relación de compresión, (b) la temperatura máxima del ciclo, en grados Rankine, (c) la relación de corte, (d) la presión después de la expansión isoentrópica, en psia, y (e) el flujo volumétrico de aire, medido en las condiciones existentes al comenzar la compresión, necesario para producir 150 hp. Utilícese la Tabla A.5I.;Diesel
Determinar el rendimiento teórico de un ciclo Diesel que opera con una presión máxima de 40 kgf/cm2 y una presión de entrada de 1 kgf/cm2. La temperatura de ingreso es 50 ºC y la relación de compresión volumétrica r1 = 13.34. La combustión aporta 400 cal.;Diesel
Un ciclo Diesel de aire estándar funciona con una relación de compresión de 16.7 y una relación de corte de 2. La temperatura y presión al comienzo de la compresión son 37 ºC y 0.10 MPa, respectivamente. Determínese (a) la temperatura máxima del ciclo, en kelvin. (b) la presión después de la expansión isoentrópica, en MPa. (c) el calor suministrado por ciclo, en kJ/kg, y (d) el flujo volumétrico de aire, medido en las condiciones existentes al comenzar la compresión, necesario para producir 200 kW. Utilícense los valores de la Tabla A.5.;Diesel
Un ciclo Diesel ideal tiene una relación de compresión de 20 y una relación de cierre de admisión de 1.3. Determine la temperatura máxima del aire y la tasa de adición de calor a este ciclo cuando produce 250 kW de potencia y el estado del aire al inicio de la compresión es de 90 kPa y 15 ºC. Use calores específicos constantes a temperatura ambiente.;Diesel
Las condiciones de entrada a un ciclo Diesel de aire estándar que funciona con una relación de compresión de 1.5 son 14.4 psia y 60 ºF. La relación de corte es (a) 2.84, y (b) 2.0. Determínese (1) la presión y la temperatura al final de cada proceso del ciclo, y (2) el rendimiento térmico y la presión media efectiva. Úsese la Tabla A.51.;Diesel
Un ciclo Diesel de aire opera con una relación de compresión de 15:1 y se le suministran 7.5 kJ de calor. Calcule: a) la presión y la temperatura al final de cada uno de los procesos del ciclo, y b) la eficiencia térmica y la presión media eficaz del ciclo. Al inicio de la carrera de compresión el aire se encuentra a 0.95 bares y 17 C y el volumen del cilindro es 3.80 L;Diesel
Las condiciones de entrada a un ciclo Diesel de aire estándar que funciona con una relación de compresión de 15:1 son 0.95 bar y 17 ºC. Al comienzo de la compresión el volumen del cilindro es 3.80 L, y el suministro de 7.5 kJ de calor al sistema tiene lugar en un proceso a presión constante. Determínese (a) la presión y la temperatura al final de cada proceso del ciclo, y (b) el rendimiento térmico y la presión media efectiva.;Diesel
A un ciclo Diesel de aire estándar se le suministran 1.659 kJ/kg de calor por ciclo. La presión y la temperatura al comienzo de la compresión son, respectivamente, 0.095 MPa y 27 ºC, y la presión después de la compresión es 3.60 MPa. Determínese (a) la relación de compresión, (b) la temperatura máxima del ciclo, en kelvin, (c) la relación de corte, (d) la presión después de la expansión isoentrópica, en megapascales, y (e) el trabajo neto, en kJ/kg. Utilícese la Tabla A.5.;Diesel
En un ciclo de Diesel reversible, que utiliza aire, la relación de compresión es de 20 y el calor transferido al fluido, en cada ciclo, es 1 800 [kJ/kg]. Si al inicio del proceso de compresión las condiciones del fluido son 15 [°C] y 0.1 [MPa], determine: a) El volumen especifico mínimo del fluido en el ciclo. b) La presión al inicio de la expansión adiabática.;Diesel
"A un motor Diésel ideal que funciona con 227 g de aire se le suministran 317 kJ/ ciclo; P1=97.91 KPa abs, T1=48.9 °C. Al final de la compresión, P2=3930 kPa abs. Suponga que el aire y los productos dentro del ciclo poseen las propiedades específicas del aire. Halle a) rk b) El porcentaje de espacio muerto c) rc d) W e) e f) Pm";Diesel
Un ciclo de Diesel reversible funciona con aire considerado como gas ideal, el cual entra a 77000 [Pa] y 21 [ºC]. La relación de compresión es 18 y la temperatura máxima que alcanza es 2000 [°C], determine en el proceso isobarico: b) La presión del aire. c) La variación de entropía especifica.;Diesel
Un ciclo Diesel ideal tiene una temperatura máxima de ciclo de 2300 ºF y una relación de cierre de admisión de 1.4. El estado del aire al principio de la compresión es P1  14.4 psia y T1  50 ºF. Este ciclo se ejecuta en motor de cuatro tiempos, de ocho cilindros, con un diámetro interior de cilindro de 4 pulg y una carrera de pistón de 4 pulg. El volumen mínimo confinado en el cilindro es 4.5 por ciento del volumen máximo del cilindro. Determine la potencia que produce este motor cuando opera a 1.800 rpm. Use calores específicos constantes a temperatura ambiente.;Diesel
Considere un motor Diesel de cuatro tiempos y cuatro cilindros, de 1500 cm3 de desplazamiento, que tiene una relación de compresión de 16 y gira a 1500 RPM. El combustible empleado disipa 44427 J/g durante la combustión. Al iniciarse la compresión, el aire se encuentra a una presión de 1 bar y a una temperatura de 40 ºC. La relación aire/combustible (masa de aire/masa de combustible) es igual a 20. Suponiendo un Ciclo Diesel donde las propiedades del medio de trabajo son iguales a las del aire, calcule: a) Las presiones y temperaturas a lo largo de todo el ciclo. b) La eficiencia térmica del ciclo Diesel. c) El flujo de calor equivalente suministrado al ciclo durante el proceso de combustión isobárica. d) La potencia desarrollada por la maquina.;Diesel
Un ciclo Diesel ideal con aire como fluido de trabajo tiene una relación de compresión de 18 y una relación de corte de admisión de 2. Al principio del proceso de compresión el fluido de trabajo está a 14.7 psia, 80 ºF y 117 pulg3. Utilice las suposiciones de aire estándar frío y determine a) la temperatura y presión del aire al final de cada proceso, b) la salida de trabajo neto y la eficiencia térmica y c) la presión media efectiva.;Diesel
