enunciados;modelos;datos;incognitas;solución
A la turbina de un ciclo Rankine ideal entra vapor sobrecalentado a 30 bar y 500 ºC y sale del condensador como líquido saturado a 0.1 bar. Determínese (a) el rendimiento térmico. (b) el flujo másico de vapor necesario en kg/h. (c) el flujo de calor suministrado al ciclo en MW, y (d) el flujo másico de agua de refrigeración en kg/h si ésta aumenta su temperatura desde 18 hasta 28 ºC. La potencia neta de salida e;Rankine;P3=30 bar, T3= 500 ºC, P4=0.1 ba;ntermico, fmvapor, qe, fm;x4=0.878, h4=2292.7 kJ/kg, ws=1163.8 kJ/kg, we= 3 kJ/kg, h2=194.8 kJ/kg, qe=3261.6 kJ/kg, nt=35.58%, fmvapor=3.11E5 kg/h, qe=281000 kW, fmaguaenf=15.56E6 kg/h
A un ciclo Brayton cuya relación de presiones es de 6:1 entra aire a 1.0 bar y 17 C. La turbina tiene una temperatura límite de 1000 К y el gasto másico es 3.5 kg/s. Determine: a) el trabajo del compresor y de la turbina, b) la eficiencia térmica, c) la producción de potencia, y d) el gasto volumétrico a la entrada del compresor. e) Si la adición de calor se efectúa mediante la quema completa de un combustible cuyo valor calorífico es 44000 kJ/kg, estime la relación de combustible y aire empleada en e;Joule;rk=6, P1= 1 bar, T1=17 ºC, T3=1000 K, fm=3.5 kg/s, cc=44000 kJ/k;we, ws, nt, potneta, fv, rcombaire;h1=290.2 kJ/kg, s2=2.182 kJ/kgK, T2=482 K, h2=484.6 kJ/kg, s3=2.96776 kJ/kg K, h3=1046 kJ/kg, h4=634 kJ/kg, we=194.4 kJ/kg, ws=412 kJ/kg, nt=0.388, potneta=761.6 kW, fv=174.51 m3/min, rcombaire=0.0127
A un ciclo Diesel de aire estándar se le suministran 1.659 kJ/kg de calor por ciclo. La presión y la temperatura al comienzo de la compresión son, respectivamente, 0.095 MPa y 27 ºC, y la presión después de la compresión es 3.60 MPa. Determínese (a) la relación de compresión, (b) la temperatura máxima del ciclo, en kelvin, (c) la relación de corte, (d) la presión después de la expansión isoentrópica, en megapascales, y (e) el trabajo neto, en kJ/kg. Utilíc;Diesel;qe=1.659 kJ/kg, P1=0.095 MPa, T1=27 ºC, P2=3.60 MP;rk, T3, rc, P4, wn;u1=214.09 kJ/kg, T2=819.71, h2=843.97 kJ/kg, P3=3.6 Mpa, h3=2502.53 kJ/kg, T3=2199.46 K, T4=133.48 K, u4=1053.05 kJ/kg, P4=0.4 Mpa, qs=838.98 kJ/kg, wn=820.02 kJ/kg, rk=13.86, rc=2.68
A un ciclo Diesel de aire estándar se le suministran 724 Btu/lbm de calor por ciclo. La presión y la temperatura al comienzo de la compresión son. respectivamente. 14.0 psia y 80 ºF. y la presión después de la compresión es 540 psia. Determínese (a) la relación de compresión, (b) la temperatura máxima del ciclo, en grados Rankine, (c) la relación de corte, (d) la presión después de la expansión isoentrópica, en psia, y (e) el flujo volumétrico de aire, medido en las condiciones existentes al comenzar la compresión, necesario para producir 150 hp. Utilí;Diesel;qe=724 Btu/lbm, k=1.4, P1=14 psia,T1=80 ºF, P2=540 psia, pot=150 h;rk, T3, rc, P4, fva;T2=1533.04 K, P3=540 psia, T3=5766.96 K, T4=1596.74 K, P4=89.45 psia, rk=13.58, rc=3.76, fm=3.13 lbm/s
A un motor Diésel ideal que funciona con 227 g de aire se le suministran 317 kJ/ ciclo, P1=97.91 KPa abs, T1=48.9 °C. Al final de la compresión, P2=3930 kPa abs. Suponga que el aire y los productos dentro del ciclo poseen las propiedades específicas del aire. Halle a) rk b) El porcentaje de espacio muerto c) rc d) W e) e f;Diesel;m=227 g, Wciclo=317 kJ/ciclo, P1=97.91 Kpa, T1=48.9 °C, P2=3930 kPa, R=287.08 J/KgK, k=1.;rk, c, rc, W, e, Pm;V1=0.214  m3, T2=924.879 K, V2=0.0153 m3, rk=13.987, V4=0.214  m3, VD=0.1987 m3, x=92.85 %, porcem=7.15, T3=2312.749 K, V3=0.038 m3, rc=2.484, W=79.25 kJ, e=0.569, Pm=1595.369 kPa
Al comienzo de la compresión adiabática de un ciclo Otto ideal, con una relación de compresión de 8, se tienen los siguientes valores: P1 = 1 bar, T1 = 300 K y V1 = 0.6 litros. La temperatura máxima del ciclo es de 2000 K. Calcular: a) la temperatura y la presión al final de cada proceso del ciclo, b) el calor absorbido, y c) el trabajo neto. (Tomar γ;Otto;rk=8,P1=1 bar, T1=300 K, V1=6, T3=2000 K;P2, T2, P3, T3, P4, T4, qe, wn;T2=689.22 K,P2=18.37 bar,P3=53.3 bar,T4=870.5 K, qe=6.55 kJ, wn=2.8 kJ
Al comienzo de la compresión adiabática de un ciclo Diesel ideal se tienen los siguientes valores: P1 = 95 kPa y T1 = 290 K. Al final del proceso de absorción de calor se tienen P3 = 6.5 MPa y T3 = 2000 K. Calcular: a) la relación de compresión, b) la relación de combustión, y c) el rendimiento. (Tomar ;Diesel;P1=95 kPa, T1=290 K, P3=6.5 Mpa, T3=2000 K;rk, rcomb, nt;rk=20.46, T2=969.92 K, rcomb=2.06, nt=0.647
"Al inicio de la compresión de un ciclo Otto estándar de aire la presión es de 14 psia y la temperatura es de 80°F. Al final de la compresión se ha incrementado por un factor de 15.3 y durante el proceso de combustión se agregan 497 BTU/lb de calor. Empleando las tablas de aire, determinar: a) La razón de compresión. b) La temperatura al final de la compresión en °R. c) La temperatura al final de la expansión en °R. d) El trabajo realizado durante la expansión en BTU/lb. e) El trabajo efectuado durante la compresión en BTU/lb.
f) La eficiencia tér";Otto;P1=14 psi, T1= 80 ºF, qe=497 Btu/lb;rk, T2, T4, ws, we, nt;T2=1177.41 R, T3=4083.84 R, T4=1873 R, nt=54.08 %, wn=268.68 Btu/lbm, we=109 Btu/lbm, ws=377.91 Btu/lbm, wn=268.91 Btu/lbm
Alguien ha sugerido que el ciclo de Otto de aire estándar es más preciso si los dos procesos isentrópicos se reemplazan por procesos politrópicos con un exponente politrópico n = 1.3. Considere un ciclo así con una relación de compresión de 8, p1 = 95 kPa, T1 = 15 ºC, y la temperatura máxima del ciclo es 1200 ºC. Determine el calor que se transfiere a este ciclo y que se rechaza de éste, así como la eficiencia térmica del ciclo. Use calores específicos constantes a temper;Otto;n = 1.3, rk=8, p1 = 95 kPa, T1 = 15 ºC, T3=1200 �;qe, nt;qe=835 kJ/kg, qs=- 420 kJ/kg, nt=49.8 %
Como caso concreto, consideraremos una central eléctrica de turbina de gas que opera en un ciclo Brayton ideal y tiene una relación de presión de 8. La temperatura del gas es de 300 K en la entrada del compresor y de 1300 K en la entrada de la turbina. Determinaremos la temperatura del gas a la salida del compresor y de la turbina, y la eficiencia de esta t;Joule;rk=8, T1=300 K, T3=1300 K;T2,T4,nturb;nt=44.8%, T2=543 K, T4=718 K
